rank,avg_ev,pred_ev,,
267,5.41,6.84,,
268,5.94,6.82,,
269,5.65,6.8,,
270,7.97,6.79,,
271,9.99,6.77,,
272,10.48,6.75,,
273,10.39,6.74,,
274,10.04,6.72,,
275,10.33,6.71,,
276,9.36,6.69,,
277,9.27,6.67,,
278,9.92,6.66,,
279,10.49,6.64,,
280,10.49,6.63,,
281,8.2,6.61,,
282,6.45,6.6,,
283,6.11,6.58,,
284,7.07,6.57,,
285,9.06,6.55,,
286,7.91,6.54,,
287,8.07,6.52,,
288,8.08,6.51,,
289,7.88,6.49,,
290,6.68,6.48,,
291,9.53,6.45,,
292,9.53,6.42,,
293,9.11,6.4,,
294,9.44,6.37,,
295,8.76,6.34,,
296,7.68,6.32,,
297,7.94,6.29,,
298,8.38,6.27,,
299,8.99,6.24,,
300,8.36,6.22,,
301,10.26,6.19,,
302,7.81,6.17,,
303,8.79,6.14,,
304,9.03,6.12,,
305,11.71,6.1,,
306,12.16,6.07,,
307,10.46,6.05,,
308,10.52,6.02,,
309,10,6,,
310,10.29,5.98,,
311,9.54,5.97,,
312,7.58,5.95,,
313,7.65,5.94,,
314,6.62,5.93,,
315,6.67,5.92,,
316,3.92,5.91,,
317,3.38,5.9,,
318,5.13,5.88,,
319,4.37,5.87,,
320,4.32,5.86,,
321,3.21,5.85,,
322,3.91,5.84,,
323,4.41,5.83,,
324,4.36,5.82,,
325,4.75,5.8,,
326,5.24,5.79,,
327,5.42,5.78,,
328,5.29,5.77,,
329,5.1,5.76,,
330,5.04,5.75,,
331,5.45,5.74,,
332,6.98,5.72,,
333,6.32,5.71,,
334,5.97,5.7,,
335,6.17,5.69,,
336,5.86,5.68,,
337,5.58,5.67,,
338,6.14,5.66,,
339,7.54,5.65,,
340,6.13,5.64,,
341,6.61,5.62,,
342,6.24,5.61,,
343,6.64,5.6,,
344,6.71,5.59,,
345,6.82,5.58,,
346,6.93,5.57,,
347,6.96,5.56,,
348,8.33,5.55,,
349,8.17,5.54,,
350,6.45,5.53,,
351,7.09,5.51,,
352,6.75,5.5,,
353,7.03,5.49,,
354,5.33,5.48,,
355,5.18,5.47,,
356,6.53,5.46,,
357,8.04,5.45,,
358,7.79,5.44,,
359,6.44,5.43,,
360,6.44,5.42,,
361,6.6,5.41,,
362,6.2,5.4,,
363,6.44,5.39,,
364,6.21,5.38,,
365,5.75,5.37,,
366,5.54,5.35,,
367,3.94,5.34,,
368,2.44,5.33,,
369,2.55,5.32,,
370,2.57,5.31,,
371,2.13,5.3,,
372,2.3,5.29,,
373,2.02,5.28,,
374,4.08,5.27,,
375,4.88,5.26,,
